asap1_id,Region,Rain,Drought,Country,Continent,name1_shr,km2_tot,km2_crop,km2_range,aezmedian
156,Khakasiya Rep.,9.0,8.0,Russian Fed.,Asia,Khakasiya Rep.,62545.0,3618.0,20280.0,
158,Sogd,11.0,6.0,Tajikistan,Asia,Sogd,26203.0,3198.0,5532.0,
160,Tadzhikistan T.,6.0,3.0,Tajikistan,Asia,Tadzhikistan T.,30180.0,4997.0,20708.0,
161,Samut Prakarn,22.0,0.0,Thailand,Asia,Samut Prakarn,953.0,389.0,0.0,
163,Aaland,11.0,8.0,Finland,Europe,Aaland,751.0,146.0,6.0,
164,Binh Duong,7.0,0.0,Viet Nam,Asia,Binh Duong,2694.0,2524.0,28.0,
165,Bioko Norte,0.0,0.0,Equat. Guinea,Africa,Bioko Norte,613.0,0.0,0.0,314.0
166,Kilimanjaro,19.0,8.0,Tanzania,Africa,Kilimanjaro,13185.0,2183.0,1576.0,312.0
168,Yukon,0.0,0.0,Canada,North America,Yukon,483400.0,0.0,176086.0,
169,Haute-Kotto,0.0,0.0,Central Africa,Africa,Haute-Kotto,85903.0,418.0,14709.0,313.0
170,Mbomou,0.0,0.0,Central Africa,Africa,Mbomou,59975.0,23.0,7606.0,313.0
171,Ouaka,9.0,0.0,Central Africa,Africa,Ouaka,49096.0,841.0,27036.0,313.0
172,Ouham,7.0,0.0,Central Africa,Africa,Ouham,52775.0,1841.0,35811.0,313.0
173,A Dakhliya,0.0,0.0,Oman,Asia,A Dakhliya,31514.0,3.0,0.0,
174,Maule,3.0,0.0,Chile,South America,Maule,30293.0,5866.0,6388.0,
175,Tbilisi,0.0,0.0,Georgia,Europe,Tbilisi,215.0,4.0,29.0,
176,Gorontalo,11.0,0.0,Indonesia,Asia,Gorontalo,12020.0,2251.0,4.0,
177,Metropolitana,10.0,0.0,Chile,South America,Metropolitana,15474.0,1828.0,2342.0,
178,Binh Thuan,14.0,1.0,Viet Nam,Asia,Binh Thuan,7943.0,3740.0,191.0,
180,Takhar,9.0,1.0,Afghanistan,Asia,Takhar,12326.0,5534.0,7364.0,
181,Dki Jakarta,0.0,0.0,Indonesia,Asia,Dki Jakarta,643.0,40.0,0.0,
182,Chaouia,3.0,8.0,Morocco,Africa,Chaouia,16545.0,12247.0,2003.0,212.0
183,Bernardo Higgins,4.0,3.0,Chile,South America,Bernardo Higgins,16279.0,3623.0,2767.0,
184,Kiribati,0.0,0.0,Kiribati,Oceania,Kiribati,540.0,0.0,0.0,
186,La Habana,6.0,0.0,Cuba,North America,La Habana,822.0,465.0,91.0,
188,Callao,0.0,0.0,Peru,South America,Callao,480.0,15.0,8.0,
191,Ariana,4.0,9.0,Tunisia,Africa,Ariana,450.0,251.0,69.0,213.0
192,Limousin,14.0,0.0,France,Europe,Limousin,17035.0,4136.0,14329.0,
193,Kharkivs'ka,20.0,17.0,Ukraine,Europe,Kharkivs'ka,31819.0,28052.0,58.0,
194,Barbados,0.0,0.0,Barbados,North America,Barbados,433.0,0.0,86.0,
195,Kolda,4.0,0.0,Senegal,Africa,Kolda,13929.0,3396.0,305.0,312.0
196,Mie,15.0,0.0,Japan,Asia,Mie,5900.0,1321.0,76.0,
197,Kakamega,27.0,0.0,Kenya,Africa,Kakamega,3004.0,2716.0,53.0,324.0
198,Akita,13.0,0.0,Japan,Asia,Akita,11568.0,1722.0,56.0,
199,Ha Nam,19.0,1.0,Viet Nam,Asia,Ha Nam,863.0,700.0,0.0,
200,Pusan,0.0,0.0,South Korea,Asia,Pusan,285.0,5.0,6.0,
202,Mjini Magharibi,0.0,0.0,Tanzania,Africa,Mjini Magharibi,233.0,2.0,44.0,313.0
203,Kusini Pemba,0.0,0.0,Tanzania,Africa,Kusini Pemba,454.0,1.0,0.0,313.0
204,Prachuap K.,14.0,1.0,Thailand,Asia,Prachuap K.,6333.0,3179.0,2.0,
206,Alagoas,4.0,3.0,Brazil,South America,Alagoas,27883.0,12686.0,13072.0,
207,Van,24.0,8.0,Turkey,Asia,Van,20898.0,5070.0,7740.0,
208,Fatick,1.0,8.0,Senegal,Africa,Fatick,6072.0,4301.0,722.0,312.0
209,Hunan Sheng,14.0,0.0,China,Asia,Hunan Sheng,210925.0,44001.0,9534.0,
210,Erzurum,37.0,6.0,Turkey,Asia,Erzurum,24845.0,6816.0,15832.0,
211,Archipelagos,0.0,0.0,Eritrea,Africa,Archipelagos,634.0,0.0,7.0,
213,Wien,0.0,0.0,Austria,Europe,Wien,419.0,61.0,7.0,
214,Tunis,0.0,0.0,Tunisia,Africa,Tunis,290.0,77.0,135.0,213.0
216,Mayotte,0.0,0.0,Mayotte,Africa,Mayotte,362.0,0.0,0.0,313.0
217,Niue,0.0,0.0,Niue,Oceania,Niue,263.0,0.0,0.0,
218,Netherlands A.,0.0,0.0,Nether. Antilles,South America,Netherlands A.,704.0,0.0,584.0,
219,Kaskazini Pemba,0.0,0.0,Tanzania,Africa,Kaskazini Pemba,495.0,0.0,1.0,313.0
220,Dominica,0.0,0.0,Dominica,North America,Dominica,751.0,0.0,6.0,
221,Taejon,9.0,0.0,South Korea,Asia,Taejon,418.0,65.0,8.0,
222,Alger,12.0,17.0,Algeria,Africa,Alger,755.0,402.0,262.0,213.0
224,Ben Arous,7.0,6.0,Tunisia,Africa,Ben Arous,662.0,394.0,242.0,213.0
225,Biombo,0.0,0.0,Guinea-Bissau,Africa,Biombo,781.0,106.0,0.0,312.0
227,Kaskazini Unguja,0.0,0.0,Tanzania,Africa,Kaskazini Unguja,446.0,25.0,0.0,313.0
228,Dien Bien,24.0,0.0,Viet Nam,Asia,Dien Bien,9166.0,799.0,177.0,
229,Kusini Unguja,0.0,0.0,Tanzania,Africa,Kusini Unguja,884.0,8.0,169.0,313.0
